scenario,year,month,period,arrivals_forecast,revenue_usd_mn,revenue_lkr_mn,tourist_nights_mn,rpt_adj,rpt_nominal,los_pred,mix_factor,usd_lkr_pred,usd_lkr_lower,usd_lkr_upper,rev_usd_hotels_mn,rev_usd_travel_agencies_mn,rev_usd_shops_mn,rev_usd_banks_mn,rev_usd_gem_corp_mn
Baseline,2026,1,2026-01,214382.78892209654,295.6474198628638,89270.21911255633,1.9180591407559384,1379.0632230756994,1501.0635252508448,8.94688958194742,0.9187240912040963,301.94824346501775,288.2122954726167,315.2041018039042,172.15549258614558,31.604709183340137,36.512456353063676,43.37147649388211,11.973720504445984
Baseline,2026,2,2026-02,193933.7510561437,267.44690379464583,80752.79071486395,1.7351038569121966,1379.0632230756994,1501.0635252508448,8.94688958194742,0.9187240912040963,301.93952358060756,282.15770080090414,319.8435607799963,155.73433207962228,28.590074015647637,33.02969261863876,39.234460786674546,10.831599603683157
Baseline,2026,3,2026-03,214548.8432573008,295.87641928957623,89334.72107249002,1.9195448105576145,1379.0632230756994,1501.0635252508448,8.94688958194742,0.9187240912040963,301.93254767307945,279.6334685829506,326.3936421078634,172.28883895232025,31.629189222055697,36.54073778226267,43.40507070978083,11.982994981227838
Baseline,2026,4,2026-04,207150.93811913452,285.6742403857284,86252.75693456743,1.8533565701487196,1379.0632230756994,1501.0635252508448,8.94688958194742,0.9187240912040963,301.92696694705694,275.43675815313543,330.13104566238417,166.34811017660965,30.538576297234364,35.28076868763746,41.90841106458636,11.569806735622
Baseline,2026,5,2026-05,213798.27766217757,294.8413418808359,89019.23574168174,1.9128295830540385,1379.0632230756994,1501.0635252508448,8.94688958194742,0.9187240912040963,301.9225023662389,273.6927569716026,333.2277493581339,171.68611337721075,31.518539447061357,36.412905722283234,43.253224853918624,11.941074346173854
Baseline,2026,6,2026-06,206609.23197673485,284.9271933670308,86024.91354917752,1.848509985106807,1379.0632230756994,1501.0635252508448,8.94688958194742,0.9187240912040963,301.9189307015845,270.03915007714807,334.529575243824,165.91310469762203,30.45871697093559,35.1885083808283,41.79881926694341,11.539551331364747
Baseline,2026,7,2026-07,213573.91980483494,294.5319382109666,88923.92626666954,1.9108222780775517,1379.0632230756994,1501.0635252508448,8.94688958194742,0.9187240912040963,301.91607336986095,266.87641048648516,336.8818538534073,171.50594762024585,31.48546419475233,36.374694369054374,43.2078353355488,11.928543497544148
Baseline,2026,8,2026-08,213762.852737334,294.7924886698039,89001.91678217264,1.9125126401630141,1379.0632230756994,1501.0635252508448,8.94688958194742,0.9187240912040963,301.9137875044822,262.76480411194575,340.3141208335397,171.65766615242683,31.513317038802036,36.40687235072078,43.246058087860234,11.939095791127059
Baseline,2026,9,2026-09,206850.5642772317,285.26000586718624,86123.4071421359,1.8506691585519095,1379.0632230756994,1501.0635252508448,8.94688958194742,0.9187240912040963,301.9119588121791,264.8837991384698,339.8594959039996,166.10690141646256,30.49429462720221,35.2296107245975,41.84764286071622,11.553030237621043
Baseline,2026,10,2026-10,213833.70258702114,294.89019509186784,89030.44502394745,1.9131465259450626,1379.0632230756994,1501.0635252508448,8.94688958194742,0.9187240912040963,301.9104958583367,261.9265105132451,344.8664655536487,171.71456060199466,31.52376185532067,36.41893909384568,43.260391619977014,11.943052901220648
Baseline,2026,11,2026-11,207125.1074447694,285.63861825268424,86236.96257206672,1.8531254659573475,1379.0632230756994,1501.0635252508448,8.94688958194742,0.9187240912040963,301.9093254952627,255.44468863249537,348.1715506872516,166.32736740853804,30.534768291211943,35.2763693542065,41.90318529766878,11.568364039233712
Baseline,2026,12,2026-12,214430.0221552213,295.7125574775731,89278.10189568698,1.918481731277304,1379.0632230756994,1501.0635252508448,8.94688958194742,0.9187240912040963,301.90838920480354,255.93390202051663,349.48269182727944,172.19342221919084,31.611672394352563,36.52050084848028,43.381032181959974,11.976358577841712
Baseline,2027,1,2027-01,239892.62972261992,321.9854514421093,97209.86781474376,2.1746548639081724,1342.2065188680897,1465.3063758770295,9.065117450347081,0.9159903628104662,301.9076401724362,252.23864485562777,350.3081233709845,187.49212837474028,34.420244759161484,39.7652032531005,47.23526572655744,13.040410783405427
Baseline,2027,2,2027-02,217223.06181208813,291.5582096126707,88023.47632783314,1.9691525682505828,1342.2065188680897,1465.3063758770295,9.065117450347081,0.9159903628104662,301.90704094654234,252.90763026179266,354.654390679233,169.77434545745814,31.167572607594494,36.00743888716483,42.771589350178786,11.808107489313162
Baseline,2027,3,2027-03,240231.0554014474,322.4396885943839,97346.65769588652,2.1777227324349573,1342.2065188680897,1465.3063758770295,9.065117450347081,0.9159903628104662,301.90656156582725,250.0,357.5486337055793,187.75663066850976,34.46880271073964,39.821301541406406,47.30190231679612,13.058807388072548
Baseline,2027,4,2027-04,232038.67768836743,311.44382582285834,94026.8151349544,2.1034578662682812,1342.2065188680897,1465.3063758770295,9.065117450347081,0.9159903628104662,301.90617806125516,250.0,358.25344907201554,181.35373977665043,33.29334498046356,38.463312489123005,45.68880924821332,12.613474945825763
Baseline,2027,5,2027-05,239427.91348559584,321.3617062793517,97020.98592309582,2.170442156638466,1342.2065188680897,1465.3063758770295,9.065117450347081,0.9159903628104662,301.9058712575975,250.0,355.7131106142638,187.12892156646652,34.3535664012627,39.68817072549994,47.14376231118089,13.015149104313744
Baseline,2027,6,2027-06,231479.03717557466,310.69267267836517,93799.86578099469,2.0983846592898425,1342.2065188680897,1465.3063758770295,9.065117450347081,0.9159903628104662,301.9056258146714,250.0,363.6624540495348,180.91634330061206,33.21304670931723,38.3705450757781,45.57861508191617,12.58305324347379
Baseline,2027,7,2027-07,239279.3363583057,321.1622850905482,96960.63760672304,2.169095287529146,1342.2065188680897,1465.3063758770295,9.065117450347081,0.9159903628104662,301.9054294603305,250.0,361.3404833781089,187.01279860822623,34.332248276179605,39.663542208682706,47.11450722278342,13.007072546167203
Baseline,2027,8,2027-08,239394.89634619802,321.3173904596176,97007.41428613201,2.17014285239195,1342.2065188680897,1465.3063758770295,9.065117450347081,0.9159903628104662,301.90527237685774,250.0,361.1408284085402,187.10311646463535,34.348829040133126,39.68269772176278,47.1372611804259,13.013354313614514
Baseline,2027,9,2027-09,231704.37915196468,310.99512814805047,93891.02978965717,2.1004274107723115,1342.2065188680897,1465.3063758770295,9.065117450347081,0.9159903628104662,301.9051467100796,250.0,364.2075706805936,181.0924631206098,33.245379199026594,38.40789832628423,45.622985299319005,12.595302689996045
Baseline,2027,10,2027-10,239637.57232077187,321.6431117346633,97105.67850065719,2.17234273860384,1342.2065188680897,1465.3063758770295,9.065117450347081,0.9159903628104662,301.90504617665704,250.0,362.0534765688102,187.29278396309445,34.3836486444355,39.72292429923092,47.185044491475104,13.026546025253865
Baseline,2027,11,2027-11,231887.62427562248,311.2410809475748,93965.22788344533,2.102088549340473,1342.2065188680897,1465.3063758770295,9.065117450347081,0.9159903628104662,301.904965749919,250.0,368.1694418466973,181.23568143577282,33.27167155329575,38.438273497025484,45.65906657500922,12.60526377837678
Baseline,2027,12,2027-12,240203.8162614442,322.40312804310327,97335.08458565432,2.177475806431582,1342.2065188680897,1465.3063758770295,9.065117450347081,0.9159903628104662,301.9049014085286,250.0,368.68565853881245,187.73534145949904,34.46489438780774,39.816786313323256,47.29653888392325,13.057326685745682
Baseline,2028,1,2028-01,267974.04609647853,347.63826892882764,104953.67941276557,2.464277176233531,1297.2833525962722,1421.041108874454,9.195954653557452,0.9129105023737103,301.9048499354162,250.0,371.4329691669786,202.42976399725634,37.16253094849167,42.93332621271021,50.99853405185901,14.07934989161752
Baseline,2028,2,2028-02,251228.8330312564,325.91498278363736,98395.30054831097,2.3102889562215903,1297.2833525962722,1421.041108874454,9.195954653557452,0.9129105023737103,301.90480875692634,250.0,370.0325096285419,189.78029447491204,34.84031165957083,40.25050037377921,47.8117279743596,13.199556802737312
Baseline,2028,3,2028-03,268356.1256776346,348.1339344088284,105103.29742098993,2.4677907627358926,1297.2833525962722,1421.041108874454,9.195954653557452,0.9129105023737103,301.90477581413444,250.0,375.24088620132767,202.7183900062608,37.215517588303754,42.9945408994903,51.071248177775125,14.099424343557551
Baseline,2028,4,2028-04,259313.2686990437,336.40278659059334,101561.5990032456,2.3846330600221646,1297.2833525962722,1421.041108874454,9.195954653557452,0.9129105023737103,301.9047494599009,250.0,372.0548504524216,195.88734263170252,35.961457886534426,41.54574414393828,49.35028879284004,13.62431285691903
Baseline,2028,5,2028-05,267235.6657974732,346.680380459043,104664.44609595396,2.457487064486798,1297.2833525962722,1421.041108874454,9.195954653557452,0.9129105023737103,301.90472837651413,250.0,373.8016038284287,201.87198554130077,37.0601326710717,42.81502698669181,50.85801181334161,14.040555408591242
Baseline,2028,6,2028-06,258540.8234735257,335.40070625873636,101259.05346322854,2.3775296887559443,1297.2833525962722,1421.041108874454,9.195954653557452,0.9129105023737103,301.90471150980466,250.0,374.59939470226163,195.3038312544622,35.85433549905891,41.42198722295394,49.203283608156624,13.583728603478823
Baseline,2028,7,2028-07,267308.39901894634,346.77473605644076,104692.92196884943,2.458155915893272,1297.2833525962722,1421.041108874454,9.195954653557452,0.9129105023737103,301.9046980164371,250.0,376.38793165731636,201.92692880566545,37.07021928443351,42.82667990297043,50.871853779479856,14.04437681028585
Baseline,2028,8,2028-08,267292.74756622425,346.7544316873804,104686.78824133186,2.4580119858437772,1297.2833525962722,1421.041108874454,9.195954653557452,0.9129105023737103,301.9046872217431,250.0,383.0168105823519,201.91510557156164,37.06804874738096,42.82417231339148,50.868875128538704,14.043554483338907
