location,aspect,avg_polarity,avg_confidence
Royal Botanical Gardens,safety,0.266,0.266
Royal Botanical Gardens,transport,0.188,0.22
Royal Botanical Gardens,view,0.477,0.493
Sigiriya The Ancient Rock Fortress,accessibility,0.215,0.235
Sigiriya The Ancient Rock Fortress,accommodation,0.146,0.23
Sigiriya The Ancient Rock Fortress,cleanliness,0.226,0.233
Sigiriya The Ancient Rock Fortress,crowd,0.179,0.205
Sigiriya The Ancient Rock Fortress,food,0.307,0.339
Sigiriya The Ancient Rock Fortress,safety,0.155,0.226
Sigiriya The Ancient Rock Fortress,transport,0.145,0.18
Sigiriya The Ancient Rock Fortress,view,0.447,0.449
Temple of the Sacred Tooth Relic,accessibility,0.164,0.194
Temple of the Sacred Tooth Relic,accommodation,0.16,0.197
Temple of the Sacred Tooth Relic,cleanliness,0.121,0.208
Temple of the Sacred Tooth Relic,crowd,0.153,0.187
Temple of the Sacred Tooth Relic,food,0.367,0.389
Temple of the Sacred Tooth Relic,safety,0.103,0.161
Temple of the Sacred Tooth Relic,transport,0.223,0.241
Temple of the Sacred Tooth Relic,view,0.416,0.435
Udawalawe National Park,accessibility,0.282,0.298
Udawalawe National Park,accommodation,0.22,0.225
Udawalawe National Park,cleanliness,0.252,0.296
Udawalawe National Park,crowd,0.224,0.234
Udawalawe National Park,food,0.398,0.439
Udawalawe National Park,safety,0.319,0.319
Udawalawe National Park,transport,0.243,0.274
Udawalawe National Park,view,0.273,0.279
Victoria Park of Nuwara Eliya,accessibility,0.232,0.293
Victoria Park of Nuwara Eliya,accommodation,0.17,0.25
Victoria Park of Nuwara Eliya,cleanliness,0.166,0.269
Victoria Park of Nuwara Eliya,crowd,0.186,0.232
Victoria Park of Nuwara Eliya,food,0.352,0.376
Victoria Park of Nuwara Eliya,safety,0.249,0.256
Victoria Park of Nuwara Eliya,transport,0.218,0.234
Victoria Park of Nuwara Eliya,view,0.354,0.376
